idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
47,,,CL,63.0,G,1.0
23,Natal,Brazil,BR,31.0,G,10.0
50,Osorno,Chile,CL,55.0,M,155.0
48,,,CL,66.0,G,1.0
40,,,,,,
28,Macapa,,BR,,,
73,Frankfurt,Germany,DE,77.0,G,5.0
100,Moscow,Russia,RU,,,
72,Poznan,Poland,PL,79.0,G,5.0
65,,Chile,,,,
72,,Poland,PL,73.0,G,10.0
16,Florianopolis,Brazil,,17.0,G,10.0
31,Fortaleza,Brazil,BR,94.0,G,100.0
47,,,CL,51.0,G,1.0
83,Istanbul,Turkey,TR,,,
76,Paris,France,FR,77.0,G,5.0
73,Frankfurt,Germany,,75.0,G,10.0
55,Valdivia,Chile,,56.0,M,155.0
13,Cuiaba,Brazil,BR,18.0,G,3.0
52,Copiapo,Chile,CL,61.0,G,1.0
76,Paris,France,FR,103.0,G,5.0
6,Belo Horizonte,Brazil,BR,8.0,G,10.0
17,Sao Paulo,Brazil,BR,24.0,G,1.0
72,Poznan,Poland,PL,88.0,G,1.0
34,UACH,Chile,CL,55.0,G,2.0
73,Frankfurt,,DE,98.0,G,10.0
21,Campo Grande,Brazil,BR,,,
94,Madrid,Spain,ES,,,
27,Boa Vista,Brazil,BR,,,
74,Prague,Czech Republic,CZ,92.0,G,5.0
76,Paris,France,FR,94.0,G,10.0
68,REUNA,Chile,CL,,,
90,Podgorica ,Montenegro,ME,96.0,M,155.0
48,,,,58.0,G,1.0
48,,,CL,65.0,G,1.0
87,Msida,Malta,MT,,,
48,,,,64.0,G,1.0
60,UBB,Chile,,,,
79,Kyiv,,UA,,,
53,Antofagasta,Chile,CL,54.0,M,155.0
88,,,BY,,,
10,Rio de Janeiro,Brazil,BR,17.0,G,10.0
98,Vienna,Austria,AT,,,
75,Luxembourg,Luxembourg,LU,76.0,G,10.0
31,Fortaleza,Brazil,BR,93.0,G,100.0
92,Bratislava ,Slovakia,SK,98.0,G,5.0
15,Porto Alegre,Brazil,BR,16.0,G,10.0
5,,Brazil,BR,11.0,M,200.0
4,Joao Passoa,Brazil,BR,23.0,G,10.0
73,Frankfurt,Germany,DE,,,
107,Tallinn ,Estonia,EE,108.0,G,10.0
17,,,BR,26.0,G,20.0
91,Budapest ,Hungary,HU,95.0,G,10.0
102,Dublin,Ireland,IE,103.0,G,10.0
81,Sofia,Bulgaria,BG,89.0,M,155.0
57,Concepcion,Chile,CL,58.0,M,301.0
5,Brasilia,Brazil,BR,27.0,M,20.0
30,Sao Luis,Brazil,BR,31.0,G,3.0
67,,,CL,,,
32,UCT,Chile,CL,45.0,G,1.0
6,Belo Horizonte,Brazil,,17.0,G,10.0
46,,Chile,CL,57.0,G,1.0
18,Porto Velho,Brazil,BR,19.0,G,3.0
78,Milan,Italy,IT,84.0,G,10.0
5,Brasilia,Brazil,,10.0,G,10.0
78,,Italy,,87.0,G,1.0
105,Stockholm ,Sweden,SE,106.0,G,5.0
81,Sofia,Bulgaria,BG,83.0,G,10.0
5,Brasilia,Brazil,BR,6.0,G,10.0
59,UDEC,Chile,CL,,,
29,Belem,Brazil,BR,30.0,G,3.0
45,,Chile,CL,56.0,G,1.0
91,,Hungary,,96.0,G,5.0
3,Campina Grande,Brazil,BR,4.0,G,10.0
81,Sofia,Bulgaria,BG,91.0,G,10.0
70,Brussels,Belgium,BE,102.0,G,5.0
72,Poznan,Poland,PL,74.0,G,10.0
36,UCN,Chile,CL,53.0,G,4.0
33,ULAGOS,Chile,CL,50.0,G,1.0
14,Curitiba,Brazil,BR,15.0,G,10.0
62,ULS,Chile,CL,,,
25,Inetnet Comercial,Brazil,BR,,,
78,Milan,Italy,IT,94.0,G,10.0
2,Maceio,Brazil,BR,7.0,G,10.0
46,,,CL,60.0,G,1.0
69,Amsterdam,Netherlands,NL,71.0,G,5.0
69,Amsterdam,Netherlands,NL,70.0,G,5.0
81,Sofia,Bulgaria,BG,82.0,G,10.0
5,Brasilia,Brazil,BR,28.0,M,20.0
9,Vitoria,Brazil,,10.0,G,10.0
99,Kaunas ,Lithuania,LT,108.0,G,10.0
61,UDA,,CL,,,
7,Aracaju,Brazil,BR,8.0,G,10.0
39,UTA,Chile,CL,41.0,G,7.0
81,Sofia,Bulgaria,BG,84.0,G,10.0
51,La Serena,Chile,CL,58.0,M,301.0
19,Rio Branco,Brazil,,,,
77,Geneva,Switzerland,CH,94.0,G,5.0
41,Arica,Chile,CL,54.0,M,155.0
6,,Brazil,BR,31.0,G,10.0
104,Oslo,Norway,NO,105.0,G,5.0
13,Cuiaba,Brazil,BR,21.0,G,3.0
37,UNAP Sede Santiago,Chile,CL,68.0,G,5.0
44,RC-Nacional,Chile,,58.0,G,1.0
12,Goiania,Brazil,BR,13.0,G,3.0
73,Frankfurt,Germany,DE,74.0,G,5.0
64,UCHILE,,CL,,,
93,Lisbon,Portugal,PT,103.0,G,10.0
42,PITs Nacionales,Chile,CL,44.0,G,4.0
101,Reykjavik ,Iceland,IS,103.0,G,3.0
49,RedCLARA,Chile,CL,58.0,G,1.0
14,,Brazil,BR,21.0,G,3.0
